Name,Born,Died,House(s),Affiliation(s),Title(s),Culture,Father,Mother,Sibling(s),Series,Season(s),Appeared in,First seen in,Last seen in,Died in,Portrayed by,Spouse(s),Religion,Issue,Also known as,Personal arms,Species,Affiliation,Lover(s),Family,Dead
Melisandre,c. 100 BC Asshai,"305 AC (aged ~400) Winterfell , the North",,"['Lord of Light', 'Stannis Baratheon', '', 'Jon Snow', 'Daenerys Targaryen', '']",,Asshai'i,,,,Game of Thrones,2 · 3 · 4 · 5 · 6 · 7 · 8,29 episodes ( see below ),""" The North Remembers """,""" The Long Night ""","""The Long Night""",Carice van Houten,,Lord of Light,,The Red Woman The Red Witch,,,,{ Stannis Baratheon },,1
Merchant captain,In Pentos,302 AC in Dorne Speared by Obara Sand,,['Unknown'],,Pentoshi,,,,Game of Thrones,5,""" Sons of the Harpy """,,,"""Sons of the Harpy""",Gary Pillai,,,,,,,,,,1
Mero,"Braavos , the Free Cities","300 AC Yunkai , Slaver's Bay",,['Second Sons'],Captain of the Second Sons,Braavosi,,,,Game of Thrones,3,""" Second Sons """,,,"""Second Sons""",Mark Killeen,,,,The Titan's Bastard,,,,,,1
Mhaegen,,,,['Petyr Baelish'],,,,,,Game of Thrones,1 · 2,2 episodes ( see below ),""" The Wolf and the Lion """,""" The North Remembers """,,Antonia Christophers,,,,,,,,,,0
Mikken,,299 AC at Winterfell Killed in the Sack of Winterfell,,['Stark'],,Northern,,,,Game of Thrones,1,2 episodes ( see below ),""" Winter Is Coming """,""" The Kingsroad """,,Boyd Rankin,,Old Gods,,,,,,,,1
Mirelle,,,,['Petyr Baelish'],,,,,,Game of Thrones,3,""" Valar Dohaeris """,,,,Elisa Lasowski,,,,,,,,,,0
Missandei,Naath,"305 AC King's Landing , the Crownlands",,"['Good Masters', 'Targaryen']",,Naathi,,,,Game of Thrones,3 · 4 · 5 · 6 · 7 · 8,38 episodes ( see below ),""" Valar Dohaeris """,""" The Last of the Starks ""","""The Last of the Starks""",Nathalie Emmanuel,,,,,,,,Grey Worm,,1
Moelle,,303 AC in King's Landing Incinerated in a wildfire explosion orchestrated by Cersei Lannister,,['Faith of the Seven'],Septa,,,,,Game of Thrones,5,2 episodes ( see below ),""" The Gift """,""" Mother's Mercy """,,Maggie Hayes,,Faith of the Seven,,,,,,,,1
Mole%27s Town madam,,,,['Unknown'],,Northern,,,,Game of Thrones,4,2 episodes ( see below ),""" Breaker of Chains """,""" The Mountain and the Viper """,,Lu Corfield,,Old Gods,,,,,,,,0
Mole%27s Town whore,,"301 AC Mole's Town , the Gift",,['Unknown'],,Northern,,,,Game of Thrones,4,2 episodes ( see below ),""" Breaker of Chains """,""" The Mountain and the Viper ""","""The Mountain and the Viper""",Lois Winstone,,Old Gods,,,,,,,,1
Mandon Moore,The Vale of Arryn,"299 AC King's Landing , the Crownlands",Moore,['Kingsguard'],Ser,Valemen,,,,Game of Thrones,1 · 2,4 episodes ( see below ),""" You Win or You Die """,""" Blackwater ""","""Blackwater""",Unidentified (Season 1) James Doran (Season 2),,Faith of the Seven,,,,,,,,1
Illyrio Mopatis,In Pentos,,,['Targaryen'],Magister of Pentos,Pentoshi,,,,Game of Thrones,1,2 episodes ( see below ),""" Winter Is Coming """,""" The Wolf and the Lion """,,Roger Allam Ian McNeice ( pilot ),Pentoshi princess,,,,,,,,,0
Morag,At Craster's Keep,,,['Unknown'],,Free Folk,{ Craster },,Gilly Sissy Sam { Craster's last son } 101 brothers and even more sisters,Game of Thrones,4,2 episodes ( see below ),""" Oathkeeper """,""" First of His Name """,,Deirdre Monaghan,{Craster},White Walkers,,,,,,,,0
Mord,,,,['Arryn'],,Valemen,,,,Game of Thrones,1,2 episodes ( see below ),""" The Wolf and the Lion """,""" A Golden Crown """,,Ciaran Bermingham,,,,,,,,,,0
Mordane,,298 AC in King's Landing,,"['Faith of the Seven', 'Stark']",Septa,Westerosi,,,,Game of Thrones,1,7 episodes ( see below ),""" Winter Is Coming """,""" Fire and Blood "" (corpse)",,Susan Brown,,Faith of the Seven,,,,,,,,1
Morgan (The Broken Man),,"303 AC The Riverlands , the Seven Kingdoms",,['Brotherhood Without Banners'],,,,,,Game of Thrones,6,2 episodes ( see below ),""" The Broken Man """,""" No One ""","""No One""",Ian Davies,,Lord of Light,,,,,,,,1
Morgan (Two Swords),,,,['Lannister'],,Westermen,,,,Game of Thrones,4,""" Two Swords """,,,,Chris Reilly,,Faith of the Seven,,,,,,,,0
Jeor Mormont,"Mormont Keep , the North","300 AC Craster's Keep , beyond the Wall",Mormont,"['Stark', ""Night's Watch""]",Lord of Bear Island (formerly) 997th Lord Commander of the Night's Watch,Northern,,,{ Maege Mormont },Game of Thrones,1 · 2 · 3,12 episodes ( see below ),""" Lord Snow """,""" And Now His Watch Is Ended ""","""And Now His Watch Is Ended""",James Cosmo,,Old Gods,{ Jorah Mormont },The Old Bear,,,,,,1
Jorah Mormont,,"305 AC Winterfell , the North",Mormont,"['Stark', 'Golden Company', 'Varys', 'Targaryen', 'Queensguard']",Ser Lord of Bear Island (formerly),Northern,{ Jeor Mormont },,,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,52 episodes ( see below ),""" Winter Is Coming """,""" The Last of the Starks "" (corpse)",""" The Long Night """,Iain Glen,Lynesse Hightower (separated),,,"""the Andal""",,,,,,1
Lyanna Mormont,292 AC at Mormont Keep,305 AC (aged 13) at Winterfell Crushed by a wight giant and raised as a wight during the Battle of Winterfell ; subsequently destroyed during the battle,Mormont,"['Stark', 'White Walkers']",Lady of Bear Island,Northern,,{ Maege Mormont },,Game of Thrones,6 · 7 · 8,9 episodes ( see below ),""" The Broken Man """,""" The Last of the Starks "" (corpse)",""" The Long Night """,Bella Ramsey,,Old Gods,,,,,,,,1
Maege Mormont,At Mormont Keep,299 - 302 AC,Mormont,['Stark'],Lady of Bear Island,Northern,,,{ Jeor Mormont },Game of Thrones,1,3 episodes ( see below ),""" The Pointy End """,""" Fire and Blood """,,Elizabeth Barrett,,Old Gods,{ Lyanna Mormont },,,,,,,1
Moro,,303 AC in Vaes Dothrak Burned alive by Daenerys Targaryen,,['Unknown'],Khal,Dothraki,,,,Game of Thrones,6,3 episodes ( see below ),""" The Red Woman """,""" Book of the Stranger ""","""Book of the Stranger""",Joe Naufahu,Wife Wife,Great Stallion,,,,,,,,1
Moro%27s bloodrider 1,,303 AC in Vaes Dothrak Burned alive by Daenerys Targaryen,,['Moro'],Bloodrider,Dothraki,,,,Game of Thrones,6,3 episodes ( see below ),""" The Red Woman """,""" Book of the Stranger ""","""Book of the Stranger""",Diogo Sales,,Great Stallion,,,,,,,,1
Moro%27s bloodrider 2,,303 AC in Vaes Dothrak Burned alive by Daenerys Targaryen,,['Moro'],Bloodrider,Dothraki,,,,Game of Thrones,6,3 episodes ( see below ),""" The Red Woman """,""" Book of the Stranger ""","""Book of the Stranger""",Junade Khan,,Great Stallion,,,,,,,,1
Moro%27s wife 1,,,,['Moro'],Khaleesi,Dothraki,,,,Game of Thrones,6,""" The Red Woman """,,,,Rubi Ali,{Moro},Great Stallion,,,,,,,,0
Moro%27s wife 2,,,,['Moro'],Khaleesi,Dothraki,,,,Game of Thrones,6,2 episodes ( see below ),""" The Red Woman """,""" Book of the Stranger """,,Fola Evans-Akingbola,{Moro},Great Stallion,,,,,,,,0
Mossador,,302 AC in Meereen Beheaded by Daario Naharis on the orders of Daenerys Targaryen,,"['Great Masters', 'Targaryen']",,,,,,Game of Thrones,4 · 5,3 episodes ( see below ),""" Oathkeeper """,""" The House of Black and White ""","""The House of Black and White""",Reece Noi,,,,,,,,,,1
Mother of Dragons (High Sparrow),,,,['Unknown'],,Volantene,,,,Game of Thrones,5,""" High Sparrow """,,,,Samantha McEwan,,,,,,,,,,0
Tobho Mott,In Qohor,,,['Unknown'],,Qohorik,,,,Game of Thrones,1 · 2,2 episodes ( see below ),""" Cripples, Bastards, and Broken Things """,""" The North Remembers """,,Andrew Wilde,,,,,,,,,,0
Mully,,301 AC in Mole's Town Killed by wildlings during the Sack of Mole's Town,,"[""Night's Watch""]",,,,,,Game of Thrones,4,""" The Mountain and the Viper """,,,"""The Mountain and the Viper""",Andy Moore,,,,,,,,,,1
Mycah,286 AC,298 AC (aged 12) near the Inn at the Crossroads Ridden down by Sandor Clegane on the orders of Joffrey Baratheon,,['Unknown'],,,Butcher,,,Game of Thrones,1,""" The Kingsroad """,,,"""The Kingsroad""",Rhodri Hosking,,,,,,,,,,1
Myranda,"The Dreadfort , the North","302 AC Winterfell , the North",,['Bolton'],,Northern,Kennelmaster,,,Game of Thrones,3 · 4 · 5 · 6,8 episodes ( see below ),""" The Bear and the Maiden Fair """,""" The Red Woman "" (corpse)",""" Mother's Mercy """,Charlotte Hope,,Faith of the Seven,,,,,,{ Ramsay Bolton },,1
Daario Naharis,In Tyrosh,,,"['Second Sons', 'Targaryen']",Captain of the Second Sons,Tyroshi,,,,Game of Thrones,3 · 4 · 5 · 6,21 episodes ( see below ),""" Second Sons """,""" The Winds of Winter """,,Ed Skrein (Season 3) Michiel Huisman (Seasons 4-6),,,,,,,,{ Daenerys Targaryen } (formerly),,0
Kraznys mo Nakloz,In Astapor,300 AC in Astapor Burned alive by Drogon at the command of Daenerys Targaryen during the fall of Astapor,,['Good Masters'],Master,Ghiscari ( Astapori ),,,,Game of Thrones,3,3 episodes ( see below ),""" Valar Dohaeris """,""" And Now His Watch Is Ended ""","""And Now His Watch Is Ended""",Dan Hildebrand,,Ghiscari religion,,,,,,,,1
Old Nan,At Winterfell,,,['Stark'],,Northern,,,,Game of Thrones,1 · 6,4 episodes ( see below ),""" Lord Snow """,""" The Door "" (vision(s))",,Margaret John Annette Tierney (younger),,Old Gods,,,,,,,,0
Tycho Nestoris,In Braavos,,,['Iron Bank of Braavos'],,Braavosi,,,,Game of Thrones,4 · 5 · 7,4 episodes ( see below ),""" The Laws of Gods and Men """,""" The Spoils of War """,,Mark Gatiss,,,,,,,,,,0
Nicho,,,,"[""Night's Watch""]",,,,,,Game of Thrones,1,""" You Win or You Die """,,,,Denis Halligan,,,,,,,,,,0
Night King,c. 11200 BC,"305 AC (aged ~11,500) Winterfell , the North",,['Unknown'],,First Men White Walker,,,,Game of Thrones,4 · 5 · 6 · 7 · 8,10 episodes ( see below ),""" The Lion and the Rose "" (vision(s))",""" The Long Night ""","""The Long Night""",Richard Brake (Seasons 4-5) Vladimír Furdík (Seasons 6-8),,,,,,,,,,1
Night%27s Watch man (Book of the Stranger),,,,"[""Night's Watch""]",,,,,,Game of Thrones,6,2 episodes ( see below ),""" Book of the Stranger """,""" The Door """,,Michael Hooley,,,,,,,,,,0
Night%27s Watch man (The Red Woman),,,,"[""Night's Watch""]",,,,,,Game of Thrones,6,2 episodes ( see below ),""" The Red Woman """,""" Home """,,Michael Hayes,,,,,,,,,,0
Night%27s Watch messenger,,,,"[""Night's Watch""]",,,,,,Game of Thrones,1,2 episodes ( see below ),""" The Pointy End """,""" Baelor """,,Frank O'Sullivan,,,,,,,,,,0
Night%27s Watch officer,,300 AC at Craster's Keep Killed in a mutiny,,"[""Night's Watch""]",,,,,,Game of Thrones,1 · 2 · 3,6 episodes ( see below ),""" You Win or You Die """,""" And Now His Watch Is Ended ""","""And Now His Watch Is Ended""",Dennis McKeever,,,,,,,,,,1
Nora,,305 AC in King's Landing Burned alive by Drogon during the Battle of King's Landing,,['Unknown'],,,,,,Game of Thrones,8,2 episodes ( see below ),""" The Bells """,""" The Iron Throne "" (corpse)","""The Bells""",Laura Elphinstone,,,,,,,,,,1
Northern lord,In the North,,,['Stark'],Lord,Northern,,,,Game of Thrones,8,""" The Iron Throne """,,,,Niall Bishop,,Old Gods,,,,,,,,0
Nymeria (direwolf),298 AC (age 7) in the North,,,['Unknown'],,,,,,Game of Thrones,1 · 7,3 episodes ( see below ),""" Winter Is Coming """,""" Stormborn """,,,,,,,,Direwolf,Arya Stark (formerly) Her Riverlands wolf pack,,{ Grey Wind } (brother) { Lady } (sister) { Summer } (brother) { Shaggydog } (brother) Ghost (brother),0
Arys Oakheart,At Old Oak,305 AC in King's Landing Killed by Sandor Clegane or crushed by debris during the Battle of King's Landing,,"['Kingsguard', 'Queensguard']",Ser,Andal,,,,Game of Thrones,1 · 2 · 5 · 6 · 8,6 episodes ( see below ),""" You Win or You Die """,""" The Bells ""","""The Bells""",Unidentified,,Faith of the Seven,,,,,,,,1
Old man,,300 AC at Queenscrown Shot in the heart with an arrow by Ygritte,,['Unknown'],,Northern,,,,Game of Thrones,3,""" The Rains of Castamere """,,,"""The Rains of Castamere""",Sean Buckley,,Old Gods,,,,,,,,1
Old woman,In the North,302 AC at Winterfell Died of a heart attack whilst being flayed alive by Ramsay Bolton,,"['Bolton', 'Stark']",,Northern,,,,Game of Thrones,5,3 episodes ( see below ),""" High Sparrow """,""" The Gift "" (corpse)",,Stella McCusker,,Old Gods,,,,,,,,1
Old woman prisoner,,"299 - 300 AC Harrenhal , the Riverlands",,['Unknown'],,,,,,Game of Thrones,2,""" Garden of Bones """,,,,Gina Moxley,,,,,,,,,,1
Olly,In the Gift,303 AC at Castle Black Hanged by Jon Snow for treason,,"[""Night's Watch""]",,Northern,{ Guymon },{ Mother },,Game of Thrones,4 · 5 · 6,17 episodes ( see below ),""" Breaker of Chains """,""" Oathbreaker ""","""Oathbreaker""",Brenock O'Connor,,Old Gods,,,,,,,,1
Olly%27s mother,,301 AC in the Gift Axed by Styr,,['Unknown'],,Northern,,,,Game of Thrones,4,""" Breaker of Chains """,,,"""Breaker of Chains""",Raewyn Lippert,{ Guymon },Old Gods,,,,,,,,1
Olyvar,,,,['Petyr Baelish'],,,,,,Game of Thrones,3 · 4 · 5,7 episodes ( see below ),""" Kissed by Fire """,""" Unbowed, Unbent, Unbroken """,,Will Tudor,,,,,,,,{ Loras Tyrell },,0
Orell,Beyond the Wall,"300 AC Queenscrown , the North",,['Mance Rayder'],,Free Folk,,,,Game of Thrones,3,6 episodes ( see below ),""" Dark Wings, Dark Words """,""" The Rains of Castamere ""","""The Rains of Castamere""",Mackenzie Crook,,Old Gods,,,,,,,,1
Ornela,In Lhazar,,,"['Dosh Khaleen', 'Targaryen']",Khaleesi,Lhazareen (raised) Dothraki (assimilated),,,,Game of Thrones,6,2 episodes ( see below ),""" Oathbreaker """,""" Book of the Stranger """,,Hannah John-Kamen,{ Khal },Great Shepherd (raised) Great Stallion (convert),,,,,,,,0
Orphan kid 1,,,,['Unknown'],,,,,,Game of Thrones,3,""" Valar Dohaeris """,,,,Max Barber,,,,,,,,,,0
Orphan kid 2,,,,['Unknown'],,,,,,Game of Thrones,3,""" Valar Dohaeris """,,,,Unidentified,,,,,,,,,,0
Osha,Beyond the Wall,303 AC at Winterfell Stabbed in the neck by Ramsay Bolton,,['Stark'],,Free Folk,,,,Game of Thrones,1 · 2 · 3 · 6,16 episodes ( see below ),""" A Golden Crown """,""" Book of the Stranger ""","""Book of the Stranger""",Natalia Tena,{ Bruni },Old Gods,,,,,,,,1
Othor,,298 AC in the Haunted Forest Killed and reanimated as a wight ; later burned by Jon Snow at Castle Black,,"[""Night's Watch"", 'White Walkers']",,,,,,Game of Thrones,1,""" The Pointy End """,,,"""The Pointy End""",Unidentified,,,,,,,,,,1
Belicho Paenymion,In Volantis,303 AC in Meereen Throat slit by Grey Worm,Paenymion,['Old Blood'],,Volantene,,,,Game of Thrones,6,2 episodes ( see below ),""" Book of the Stranger """,""" Battle of the Bastards ""","""Battle of the Bastards""",Eddie Jackson,,,,,,,,,,1
Oznak zo Pahl,In Meereen,301 AC in Meereen Decapitated with an arakh by Daario Naharis,,['Great Masters'],,Ghiscari ( Meereenese ),,,,Game of Thrones,4,""" Breaker of Chains """,,,"""Breaker of Chains""",Daniel Naprous,,Ghiscari religion,,,,,,,,1
Palla,At Winterfell,"299 AC Winterfell, the North",,['Stark'],,Northern,{ Farlen },,,Game of Thrones,2,3 episodes ( see below ),""" The North Remembers """,""" A Man Without Honor """,,Joy Carleton,,Old Gods,,,,,,,,1
Ilyn Payne,The Westerlands,,Payne,"['Lannister', 'Baratheon']","Ser Captain of the guard (formerly, for House Lannister) King's Justice",Westermen,,,,Game of Thrones,1 · 2 · 6,5 episodes ( see below ),""" The Kingsroad """,""" Blood of My Blood "" (vision(s))",,Wilko Johnson,,,,,,,,,,0
Podrick Payne,The Westerlands,,Payne,"['Lannister', 'Kingsguard']",Ser,Westermen,,,,Game of Thrones,2 · 3 · 4 · 5 · 6 · 7 · 8,35 episodes ( see below ),""" The Night Lands """,""" The Iron Throne """,,Daniel Portman,,Faith of the Seven,,Pod,,,,,,0
Pentoshi servant,,,,['Illyrio Mopatis'],,Pentoshi,,,,Game of Thrones,1,""" Winter Is Coming """,,,,Rania Zouari,,,,,,,,,,0
Polliver,The Westerlands,301 AC Near the Mountains of the Moon,,"['Lorch', 'Lannister']",,Westermen,,,,Game of Thrones,2 · 4,3 episodes ( see below ),""" What Is Dead May Never Die """,""" Two Swords ""","""Two Swords""",Andy Kellegher,,,,,,,,,,1
Jeyne Poole,At Winterfell,,Poole,['Stark'],,Northern,{ Vayon Poole },,4 sisters,Game of Thrones,1,""" Winter Is Coming """,,,,Unidentified,,Old Gods,,,,,,,,0
Vayon Poole,At Winterfell,298 AC in King's Landing Ran through with a spear by a Lannister man,Poole,['Stark'],Steward of Winterfell,Northern,,,,Game of Thrones,1,""" The Pointy End """,,,"""The Pointy End""",Matthew Scurfield,,Old Gods,,,,,,,,1
Portan,In the North,,,['Stark'],,Northern,,,,Game of Thrones,2,""" The North Remembers """,,,,Gordon Fulton,,Old Gods,,,,,,,,0
Pyat Pree,In Qarth,"299 AC in the House of the Undying Burned alive by Drogon , Rhaegal , and Viserion on the command of Daenerys Targaryen",,"['Warlocks', 'Thirteen']",,Qartheen,,,,Game of Thrones,2,5 episodes ( see below ),""" Garden of Bones """,""" Valar Morghulis ""","""Valar Morghulis""",Ian Hanmore,,,,,,,,,,1
Prince of Dorne (Last War),At Sunspear,,Martell,['Targaryen'],Prince of Dorne,Dornishman,,,,Game of Thrones,8,""" The Iron Throne """,,,,Toby Osmond,,Faith of the Seven,,,,,,,,0
Protestor,,,,['Unknown'],,,,,,Game of Thrones,2,""" The Ghost of Harrenhal """,,,,Edward Tudor-Pole,,,,,,,,,,0
Pycelle,231 AC,303 AC (aged 72) in King's Landing Stabbed repeatedly by Qyburn 's little birds,,"['Order of Maesters', 'Targaryen', 'Lannister', 'Baratheon']",Grand Maester,Andal,,,,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6,31 episodes ( see below ),""" Lord Snow """,""" The Winds of Winter ""","""The Winds of Winter""",Julian Glover,,Faith of the Seven,,,,,,,,1
Wex Pyke,"Lordsport , the Iron Islands","299 AC Winterfell , the North",,"['Botley', 'Greyjoy']",,Ironborn,,,,Game of Thrones,2,""" Valar Morghulis """,,,,Unidentified,,Drowned God,,,,,,,,1
Pypar,The Riverlands,"301 AC Castle Black , the Wall",,"['Smallwood', ""Night's Watch""]",,Rivermen,,,,Game of Thrones,1 · 3 · 4,13 episodes ( see below ),""" Lord Snow """,""" The Children "" (corpse)",""" The Watchers on the Wall """,Josef Altin,,,,Pyp,,,,,,1
Yezzan zo Qaggaz,In Yunkai,,,"['Wise Masters', 'Good Masters']",Master,Ghiscari ( Yunkai'i ),,,,Game of Thrones,5 · 6,4 episodes ( see below ),""" The Gift """,""" Battle of the Bastards """,,Enzo Cilenti,,Ghiscari religion,,,,,,,,0
Qartheen woman,In Qarth,,,['Unknown'],,Qartheen,,,,Game of Thrones,2,""" The Ghost of Harrenhal """,,,,Kristina Krepela,,,,,,,,,,0
Qhono,,305 AC at Winterfell Killed and raised as a wight during the Battle of Winterfell ; subsequently destroyed during the battle,,"['Moro', 'Targaryen', 'White Walkers']",Ko,Dothraki,,,,Game of Thrones,6 · 7 · 8,11 episodes ( see below ),""" The Red Woman """,""" The Last of the Starks "" (corpse)",""" The Long Night """,Staz Nair,,Great Stallion,,,,,,,,1
Qhorin,,"299 AC The Skirling Pass , beyond the Wall",,"[""Night's Watch""]",,,,,,Game of Thrones,2,4 episodes ( see below ),""" The Ghost of Harrenhal """,""" Valar Morghulis ""","""Valar Morghulis""",Simon Armstrong,,,,Qhorin Halfhand The Halfhand Lord Qhorin,,,,,,1
Qorro,,303 AC in Vaes Dothrak Burned alive by Daenerys Targaryen,,['Unknown'],Khal,Dothraki,,,,Game of Thrones,6,""" Book of the Stranger """,,,"""Book of the Stranger""",Darius Dar Khan,,Great Stallion,,,,,,,,1
Qotho,,298 AC in Lhazar Slashed across the face by Jorah Mormont,,['Drogo'],Bloodrider,Dothraki,,,,Game of Thrones,1,6 episodes ( see below ),""" Winter Is Coming """,""" Baelor ""","""Baelor""",Dar Salim,,Great Stallion,,,,,,,,1
Quaithe,In Asshai,,,['Unknown'],,Asshai 'i,,,,Game of Thrones,2,2 episodes ( see below ),""" The Ghost of Harrenhal """,""" A Man Without Honor """,,Laura Pradelska,,,,Quaithe of the Shadow,,,,,,0
Quent,,,,['Stark'],,Northern,,,,Game of Thrones,2,2 episodes ( see below ),""" The Old Gods and the New """,""" A Man Without Honor """,,Aidan Crowe,,,,,,,,,,0
Qyburn,,305 AC in King's Landing Skull cracked open by Gregor Clegane during the Battle of King's Landing,,"['Order of Maesters', 'Bolton', 'Baratheon', 'Lannister']",Maester (revoked) Master of Whisperers (to Tommen I and Cersei I ) Hand of the Queen (to Cersei I),,,,,Game of Thrones,3 · 4 · 5 · 6 · 7 · 8,22 episodes ( see below ),""" Valar Dohaeris """,""" The Bells ""","""The Bells""",Anton Lesser,,,,,,,,,,1
Rakharo,,299 AC Killed by a rival khalasar,,"['Drogo', 'Targaryen']",Bloodrider,Dothraki,,,,Game of Thrones,1 · 2,8 episodes ( see below ),""" Lord Snow """,""" The Night Lands "" (corpse)",,Elyes Gabel,,Great Stallion,,,,,,,,1
Rast,,301 AC near Craster's Keep Savaged by Ghost,,"[""Night's Watch"", 'Mutineers']",,,,,,Game of Thrones,1 · 3 · 4,12 episodes ( see below ),""" The Kingsroad """,""" First of His Name ""","""First of His Name""",Luke Barnes,,,,,,,,,,1
Ray,,"303 AC The Riverlands , Westeros",,['Faith of the Seven'],Brother Septon,Rivermen,,,{ Willam } { Owen },Game of Thrones,6,""" The Broken Man """,,,"""The Broken Man""",Ian McShane,,Faith of the Seven,,,,,,,,1
Mance Rayder,Beyond the Wall,302 AC at Castle Black Shot with an arrow by Jon Snow whilst being burned alive by Melisandre,,"[""Night's Watch""]",King-Beyond-the-Wall,Free Folk,,,,Game of Thrones,3 · 4 · 5,5 episodes ( see below ),""" Valar Dohaeris """,""" The Wars To Come ""","""The Wars To Come""",Ciarán Hinds,,Old Gods,,,,,,,,1
Red priestess (High Sparrow),,,,['Red Temple of Volantis'],,Volantene,,,,Game of Thrones,5,""" High Sparrow """,,,,Rila Fukushima,,Lord of Light,,,,,,,,0
Red priestess (No One),,,,['Red Temple of Volantis'],,,,,,Game of Thrones,6,""" No One """,,,,Melanie Liburd,,Lord of Light,,,,,,,,0
Howland Reed,At Greywater Watch,,Reed,['Stark'],,Crannogman,,,,Game of Thrones,6,""" Oathbreaker "" (vision(s))",,,,Leo Woodruff,,Old Gods,,,,,,,,0
Jojen Reed,At Greywater Watch,301 AC near the cave of the Three-Eyed Raven Stabbed repeatedly by a wight and euthanized by Meera Reed,Reed,['Stark'],,Crannogman,Howland Reed,,Meera Reed,Game of Thrones,3 · 4,10 episodes ( see below ),""" Dark Wings, Dark Words """,""" The Children ""","""The Children""",Thomas Brodie-Sangster,,Old Gods,,,,,,,,1
Meera Reed,At Greywater Watch,,Reed,['Stark'],,Crannogman,Howland Reed,,{ Jojen Reed },Game of Thrones,3 · 4 · 6 · 7,16 episodes ( see below ),""" Dark Wings, Dark Words """,""" The Spoils of War """,,Ellie Kendrick,,Old Gods,,,,,,,,0
Rennick,The Westerlands,299 AC Oxcross,,['Lannister'],,Westermen,,,,Game of Thrones,2,""" Garden of Bones """,,,"""Garden of Bones""",David Fynn,,Faith of the Seven,,,,,,,,1
Rhaegal,"298 AC The wastelands beyond Lhazar , Essos","305 AC (aged 7) Blackwater Bay , the Crownlands",,['Unknown'],,,,,,Game of Thrones House of the Dragon,Game of Thrones : 1 · 2 · 3 · 4 · 5 · 6 · 7 · 8 House of the Dragon : 2,24 episodes ( see below ),""" Fire and Blood """,""" The Queen Who Ever Was "" (vision(s))",""" The Last of the Starks """,,,,,,,Dragon,{ Daenerys Targaryen } Jon Snow,,{ Syrax } (mother) Drogon (brother) { Viserion } (brother),1
Rhaego,,298 AC in Lhazar Stillborn; caused by Mirri Maz Duur 's bloodmagic,,['Unknown'],,Dothraki,{ Drogo },{ Daenerys Targaryen },,Game of Thrones,2,""" Valar Morghulis "" (vision(s))",,,""" Fire and Blood "" (fate confirmed)",Wren Ros Elliot-Sloan,,,,The stallion who mounts the world,,,,,,1
Rhalko,,303 AC in Vaes Dothrak Burned alive by Daenerys Targaryen,,['Unknown'],Khal,Dothraki,,,,Game of Thrones,6,""" Book of the Stranger """,,,"""Book of the Stranger""",Andrei Claude,,Great Stallion,,,,,,,,1
Riddell,,"303 AC The Riverlands , the Seven Kingdoms",,['Brotherhood Without Banners'],,,,,,Game of Thrones,6,""" No One """,,,"""No One""",Ross McKinney,,,,,,,,,,1
Riverlands traveller,In the Riverlands,,,['Unknown'],,Rivermen,,,,Game of Thrones,3,""" Dark Wings, Dark Words """,,,,Joe Purcell,,Faith of the Seven,,,,,,,,0
Brynden Rivers,,"303 AC Cave of the Three-Eyed Raven , beyond the Wall",Targaryen ( legitimized ),['Children of the Forest'],Three-Eyed Raven,Valyrian Riverman,{ Aegon IV Targaryen },,Paternal half-siblings: { Daeron II Targaryen } { Daenerys Targaryen } { Daemon Blackfyre } { Aegor Rivers } {Shiera Seastar},Game of Thrones House of the Dragon,Game of Thrones : 1 · 2 · 3 · 4 · 6 House of the Dragon : 2,13 episodes ( see below ),""" Cripples, Bastards, and Broken Things "" (vision(s))",""" The Queen Who Ever Was "" (vision(s))",""" The Door """,Struan Rodger ( Game of Thrones : Season 4) Max von Sydow ( Game of Thrones : Season 6) Joshua Ben-Tovim ( House of the Dragon ),,Old Gods,,Bloodraven Great Bastard,,,,{ Shiera Seastar },,1
Ryger Rivers,"The Riverlands , Westeros","303 AC The Twins , the Riverlands",,['Frey'],,Rivermen,{ Walder Frey },Milkmaid,Paternal half-siblings: { Stevron Frey } { Lothar Frey } { Olyvar Frey } Roslin Tully { Waldron Frey } Arwaya Frey Walda Frey Derwa Frey Waldra Frey Shirei Frey { Walder Rivers },Game of Thrones,1,""" Baelor """,,,,Bryan McCaugherty,,Faith of the Seven,,,,,,,,1
Walder Rivers,"The Riverlands , Westeros","303 AC The Twins , the Riverlands",,['Frey'],,Rivermen,{ Walder Frey },,Paternal half-siblings: { Stevron Frey } { Lothar Frey } { Olyvar Frey } Roslin Tully { Waldron Frey } Arwaya Frey Walda Frey Derwa Frey Waldra Frey Shirei Frey { Ryger Rivers },Game of Thrones,3 · 6,6 episodes ( see below ),""" The Climb """,""" The Winds of Winter ""","""The Winds of Winter"" (fate confirmed)",Tim Plester,,Faith of the Seven,,Black Walder,,,,,,1
Rorge,,"301 AC Near the Mountains of the Moon , the Vale of Arryn",,"[""Night's Watch"", 'Lannister']",,,,,,Game of Thrones,1 · 2 · 4,5 episodes ( see below ),""" Fire and Blood """,""" Mockingbird ""","""Mockingbird""",Unidentified (Season 1) Andy Beckwith (Seasons 2-4),,,,,,,,,,1
