Name,Born,Died,House(s),Affiliation(s),Title(s),Culture,Father,Mother,Sibling(s),Series,Season(s),Appeared in,First seen in,Last seen in,Died in,Portrayed by,Spouse(s),Religion,Issue,Also known as,Personal arms,Species,Affiliation,Lover(s),Family,Dead,mapped
Viserys Targaryen (son of Aerys II),"276 AC Red Keep , King's Landing","298 AC (aged 22) Vaes Dothrak , Dothraki Sea",Targaryen,['Unknown'],Prince of Dragonstone (briefly) King of the Andals and the First Men (claimant) Lord of the Seven Kingdoms (claimant) Protector of the Realm (claimant),Valyrian,{ Aerys II Targaryen },{ Rhaella Targaryen },{ Rhaegar Targaryen } { Daenerys Targaryen },Game of Thrones,1,5 episodes ( see below ),""" Winter Is Coming """,""" A Golden Crown ""","""A Golden Crown""",Harry Lloyd,,,,King Viserys III (self-styled) The Last Dragon The Dragon The Beggar King Khal Rhae Mhar,,,,,,1,viserys targaryen
Dickon Tarly,At Horn Hill,304 AC on the Goldroad Burned alive by Drogon on the orders of Daenerys Targaryen,Tarly,['Unknown'],,Andal,{ Randyll Tarly },Melessa Florent,Samwell Tarly Talla Tarly,Game of Thrones,6 · 7,5 episodes ( see below ),""" Blood of My Blood """,""" Eastwatch ""","""Eastwatch""",Freddie Stroma (Season 6) Tom Hopper (Season 7),,Faith of the Seven,,,,,,,,1,dickon
Melessa Tarly,Melessa Florent At Brightwater Keep,,Florent Tarly (by marriage),['Unknown'],,Andal,,,,Game of Thrones,6,""" Blood of My Blood """,,,,Samantha Spiro,{ Randyll Tarly },Faith of the Seven,,,,,,,,0,melessa
Randyll Tarly,At Horn Hill,304 AC on the Goldroad Burned alive by Drogon on the orders of Daenerys Targaryen,Tarly,"['Tyrell', 'Lannister']",,Andal,,,,Game of Thrones,6 · 7,5 episodes ( see below ),""" Blood of My Blood """,""" Eastwatch ""","""Eastwatch""",James Faulkner,Melessa Florent,Faith of the Seven,,,,,,,,1,randyll
Samwell Tarly,"Samwell Tarly 280 AC (age 25) Horn Hill , the Reach",,Tarly,"[""Night's Watch"", 'Order of Maesters', 'Small Council']",Grand Maester,Marcher,{ Randyll Tarly },Melessa Florent,,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,48 episodes ( see below ),""" Cripples, Bastards, and Broken Things """,""" The Iron Throne """,,John Bradley,,Faith of the Seven (raised) Old Gods (convert),Sam (adoptive),Sam Ser Piggy Prince Pork-chop Lady Piggy Sam the Slayer,,,,Gilly,,0,samwell tarly
Talla Tarly,At Horn Hill,,Tarly,"[""Bronn's house""]",,Andal,{ Randyll Tarly },Melessa Florent,Samwell Tarly { Dickon Tarly },Game of Thrones,6,""" Blood of My Blood """,,,,Rebecca Benson,,Faith of the Seven,,,,,,,,0,talla
Brienne of Tarth,"Evenfall Hall , Tarth",,Tarth,"['Baratheon', 'Kingsguard', 'Catelyn Stark', 'Sansa Stark', 'Kingsguard']",Ser Lady Commander of the Kingsguard,Stormlander,{ Selwyn Tarth },,,Game of Thrones,2 · 3 · 4 · 5 · 6 · 7 · 8,42 episodes ( see below ),""" What Is Dead May Never Die """,""" The Iron Throne """,,Gwendoline Christie,,Faith of the Seven,,Brienne the Beauty,,,,{ Jaime Lannister },,0,brienne
Teela,At Winterfell,,,['Stark'],,Northern,,,Brothers,Game of Thrones,8,2 episodes ( see below ),""" A Knight of the Seven Kingdoms """,""" The Long Night """,,Bea Glancy,,Old Gods,,,,,,,,0,teela
Thenn warg,"Thenn , beyond the Wall","301 AC Castle Black , the Wall",,"['Styr', 'Mance Rayder']",,Thenn,,,,Game of Thrones,4,3 episodes ( see below ),""" Two Swords """,""" The Watchers on the Wall ""","""The Watchers on the Wall""",Joseph Gatt,,Old Gods,,,,,,,,1,thenn warg
Thin man,,,,['Unknown'],,Braavosi,,,,Game of Thrones,5,2 episodes ( see below ),""" Hardhome """,""" The Dance of Dragons """,,Oengus MacNamara,,,,The gambler,,,,,,0,thin man
Alliser Thorne,In the Crownlands,303 AC at Castle Black,Thorne,"['Targaryen', ""Night's Watch""]",Ser Master-at-arms at Castle Black First Ranger Acting Lord Commander of the Night's Watch (formerly),Crownlander,,,,Game of Thrones,1 · 4 · 5 · 6,19 episodes ( see below ),""" Lord Snow """,""" Oathbreaker ""","""Oathbreaker""",Owen Teale,,Faith of the Seven,,,,,,,,1,alliser thorne
Thoros,In Myr,304 AC beyond the Wall Injured by a wight snow bear and froze to death during a wight hunt,,"['Lord of Light', 'Baratheon', 'Brotherhood Without Banners']",,Myrish,,,,Game of Thrones,3 · 6 · 7,10 episodes ( see below ),""" Dark Wings, Dark Words """,""" Beyond the Wall ""","""Beyond the Wall""",Paul Kaye,,Lord of Light,,Thoros of Myr,,,,,,1,thoros
Tickler,The Westerlands,299 AC Harrenhal,,['Clegane'],,Westermen,,,,Game of Thrones,2,2 episodes ( see below ),""" Garden of Bones """,""" The Ghost of Harrenhal ""","""The Ghost of Harrenhal""",Anthony Morris,,Faith of the Seven,,,,,,,,1,tickler
Timett,In the Mountains of the Moon,,,['Burned Men'],Ruler of the Burned Men,Hill tribes,Timett,,,Game of Thrones,1 · 2,4 episodes ( see below ),""" The Pointy End """,""" What Is Dead May Never Die """,,Tobias Winter,,,,,,,,,,0,timett
Eddison Tollett,The Vale of Arryn,"305 AC Winterfell , the North",Tollett,"[""Night's Watch"", 'White Walkers']",Lord Commander of the Night's Watch (acting),Valemen,,,,Game of Thrones,2 · 3 · 4 · 5 · 6 · 7 · 8,34 episodes ( see below ),""" The North Remembers """,""" The Last of the Starks "" (corpse)",""" The Long Night """,Ben Crompton,,,,Edd Dolorous Edd,,,,,,1,eddison tollett
Tomard,In the North,,,['Stark'],,Northern,,,,Game of Thrones,1,""" You Win or You Die """,,,,Phil Dixon,,Old Gods,,,,,,,,0,tomard
Tormund,Beyond the Wall,,,"['Mance Rayder', 'Jon Snow']",,Free Folk,,,,Game of Thrones,3 · 4 · 5 · 6 · 7 · 8,33 episodes ( see below ),""" Valar Dohaeris """,""" The Iron Throne """,,Kristofer Hivju,,Old Gods,,Tormund Giantsbane,,,,,,0,tormund
Meryn Trant,In the Stormlands,302 AC in Braavos,Trant,['Kingsguard'],Ser,Stormlander,,,,Game of Thrones,1 · 2 · 3 · 4 · 5,18 episodes ( see below ),""" The Pointy End """,""" Mother's Mercy ""","""Mother's Mercy""",Ian Beattie,,Faith of the Seven,,The Forgettable,,,,,,1,meryn trant
Brynden Tully,"Riverrun , the Riverlands","303 AC Riverrun, the Riverlands",Tully,['Unknown'],Ser Castellan of Riverrun,Rivermen,,,{ Hoster Tully },Game of Thrones,3 · 6,7 episodes ( see below ),""" Walk of Punishment """,""" No One ""","""No One""",Clive Russell,,,,The Blackfish,"Per fess mud red and blue, a black trout leaping over a wavy white-blue-white fess",,,,,1,brynden
Edmure Tully,"Riverrun , the Riverlands",,Tully,['Stark'],Ser Lord of Riverrun Lord Paramount of the Trident,Rivermen,{ Hoster Tully },{ Minisa Whent },,Game of Thrones,3 · 6 · 8,9 episodes ( see below ),""" Walk of Punishment """,""" The Iron Throne """,,Tobias Menzies,Roslin Frey,,Son,,,,,,,0,edmure
Roslin Tully,Roslin Frey 281 AC (age 24) at the Twins,,Frey Tully (by marriage),['Unknown'],,Rivermen,{ Walder Frey },,{ Stevron Frey } { Lothar Frey } { Olyvar Frey } { Waldron Frey } Arwaya Frey Walda Frey Derwa Frey Waldra Frey Shirei Frey Bastard paternal half-siblings: { Walder Rivers } { Ryger Rivers },Game of Thrones,3,""" The Rains of Castamere """,,,,Alexandra Dowling,Edmure Tully,Faith of the Seven,Son,,,,,,,0,roslin
Loras Tyrell,"Highgarden , the Reach","Festival of the Mother , 303 AC Great Sept of Baelor , King's Landing",Tyrell (renounced),"['Baratheon', 'Kingsguard', 'Faith Militant']","Ser Lord Commander of the Kingsguard (formerly, to Renly I)",Reach,{ Mace Tyrell },{ Alerie Hightower },,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6,20 episodes ( see below ),""" The Wolf and the Lion """,""" The Winds of Winter ""","""The Winds of Winter""",Finn Jones,,Faith of the Seven,,The Knight of the Flowers Brother Loras,,,,{ Renly Baratheon } Olyvar,,1,loras tyrell
Mace Tyrell,At Highgarden,"303 AC Great Sept of Baelor , King's Landing",Tyrell,"['Targaryen', 'Baratheon', 'Baratheon']","Lord of Highgarden Lord Paramount of the Reach Warden of the South Hand of the King (formerly, to Renly I ) Master of Ships (to Joffrey I and Tommen I ) Master of Coin (to Tommen I)",Reach,{ Luthor Tyrell },{ Olenna Redwyne },{Sisters},Game of Thrones,4 · 5 · 6,13 episodes ( see below ),""" The Lion and the Rose """,""" The Winds of Winter ""","""The Winds of Winter""",Roger Ashton-Griffiths,{ Alerie Hightower },Faith of the Seven,{ Loras Tyrell } { Margaery Tyrell },The Lord Oaf of Highgarden The Fat Flower,,,,,,1,mace tyrell
Margaery Tyrell,"Highgarden , the Reach","Festival of the Mother , 303 AC Great Sept of Baelor , King's Landing",Tyrell Baratheon (by marriage) Baratheon of King's Landing (by marriage),['Unknown'],Queen Consort,Reach,{ Mace Tyrell },{ Alerie Hightower },,Game of Thrones,2 · 3 · 4 · 5 · 6,26 episodes ( see below ),""" What Is Dead May Never Die """,""" The Winds of Winter ""","""The Winds of Winter""",Natalie Dormer,{ Renly Baratheon } (1st husband; unconsummated) { Joffrey I Baratheon } (2nd husband; unconsummated) { Tommen I Baratheon },,,,,,,,,1,margaery
Olenna Tyrell,"Olenna Redwyne The Arbor , the Reach","304 AC Highgarden , the Reach",Redwyne Tyrell (by marriage),['Targaryen'],,Reach,,,Viola Redwyne,Game of Thrones,3 · 4 · 5 · 6 · 7,18 episodes ( see below ),""" Dark Wings, Dark Words """,""" The Queen's Justice ""","""The Queen's Justice""",Dame Diana Rigg,{ Luthor Tyrell },,{ Mace Tyrell },Queen of Thorns,,,,,,1,olenna
Greizhen mo Ullhor,In Astapor,300 AC in Astapor Killed by the Unsullied on the orders of Daenerys Targaryen during the fall of Astapor,Ullhor,['Good Masters'],Master,Ghiscari ( Astapori ),,,,Game of Thrones,3,2 episodes ( see below ),""" Walk of Punishment """,""" And Now His Watch Is Ended ""","""And Now His Watch Is Ended""",Clifford Barry,,Ghiscari religion,,,,,,,,1,greizhen
Greatjon Umber,At Last Hearth,300 - 303 AC Died during the War of the Five Kings,Umber,['Stark'],,Northern,,,,Game of Thrones,1,3 episodes ( see below ),""" The Pointy End """,""" Fire and Blood """,""" Oathbreaker "" (fate confirmed)",Clive Mantle,,Old Gods,{ Smalljon Umber } Daughters,The Greatjon,,,,,,1,greatjon umber
Ned Umber,"294 AC Last Hearth , the North","305 AC (aged 11) Last Hearth, the North",Umber,"['Stark', 'White Walkers']",,Northern,{ Smalljon Umber },,,Game of Thrones,7 · 8,3 episodes ( see below ),""" Dragonstone """,""" Winterfell ""","""Winterfell""",Harry Grasby,,Old Gods,,,,,,,,1,ned
Smalljon Umber,"Last Hearth , the North","303 AC Near Winterfell , the North",Umber,['Bolton'],,Northern,{ Greatjon Umber },,Sisters,Game of Thrones,6,2 episodes ( see below ),""" Oathbreaker """,""" Battle of the Bastards ""","""Battle of the Bastards""",Dean S. Jagger,,Old Gods,,The Smalljon,,,,,,1,smalljon
Unella,,303 - 305 AC in King's Landing,,['Faith of the Seven'],Septa,Andal,,,,Game of Thrones,5 · 6,8 episodes ( see below ),""" The Gift """,""" The Winds of Winter """,,Hannah Waddingham,,Faith of the Seven,,,,,,,,1,unella
Unsullied (Valar Dohaeris),,,,"['Unsullied', 'Targaryen']",,Lysene,,,,Game of Thrones,3,""" Valar Dohaeris """,,,,Rhys Howells,,,,,,,,,,0,unsullied
Vala,In Meereen,,,['Sons of the Harpy'],,Ghiscari ( Meereenese ),,,,Game of Thrones,5 · 6,3 episodes ( see below ),""" The Wars To Come """,""" Oathbreaker """,,Meena Rayann,,Ghiscari religion,,,,,,,,0,vala
Varly,In the North,298 AC in King's Landing Killed by the City Watch during a massacre,,['Stark'],,Northern,,,,Game of Thrones,1,""" You Win or You Die """,,,"""You Win or You Die""",Graham Charles,,Old Gods,,,,,,,,1,varly
Varys,Lys,"305 AC Dragonstone , the Crownlands",,"['Targaryen', 'Baratheon', 'Small Council']",Master of Whisperers,Lysene,,,,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,46 episodes ( see below ),""" Lord Snow """,""" The Bells ""","""The Bells""",Conleth Hill,,,,The Spider,,,,,,1,varys
Violet,"The North , the Seven Kingdoms",300 - 302 AC,,['Bolton'],,Northern,,,,Game of Thrones,3,""" The Bear and the Maiden Fair """,,,,Stephanie Blacker,,Old Gods,,,,,,{ Ramsay Bolton },,1,violet
Waif,,303 AC in Braavos Killed by Arya Stark with Needle,,['Faceless Men'],,Braavosi,,,,Game of Thrones,5 · 6,11 episodes ( see below ),""" High Sparrow """,""" No One ""","""No One""",Faye Marsay Additional actors when the Waif is disguised: Margaret Jackman (old woman) Adam Turns (young man),,Many-Faced God,,,,,,,,1,waif
Donnel Waynwood,At Ironoaks,,Waynwood,['Arryn'],Ser,Valemen,,Anya Waynwood,,Game of Thrones,4,2 episodes ( see below ),""" First of His Name """,""" The Mountain and the Viper """,,Alisdair Simpson,,Faith of the Seven,,,,,,,,0,donnel
White Rat,,"302 AC Meereen , Slaver's Bay",,"['Unsullied', 'Targaryen']",,,,,,Game of Thrones,5,""" The Wars To Come """,,,"""The Wars To Come""",Marcos James,,,,,,,,,,1,white rat
Will,"The Riverlands , Westeros","298 AC Near Winterfell , the North",,"[""Night's Watch""]",,Rivermen,,,,Game of Thrones,1,""" Winter Is Coming """,,,"""Winter Is Coming""",Bronson Webb,,,,,,,,,,1,will
Willa (Hardhome),Beyond the Wall,,,['Ice-river clans'],,Free Folk,,{ Karsi },Johnna,Game of Thrones,5,2 episodes ( see below ),""" Hardhome """,""" The Dance of Dragons """,,Karla Lyons,,Old Gods,,,,,,,,0,willa
Willa (The Last of the Starks),In the North,,,['Stark'],,Northern,,,,Game of Thrones,8,""" The Last of the Starks """,,,,Alice Nokes,,Old Gods,,,,,,,,0,willa
Wineseller,,"298 AC The Dothraki Sea , Essos",,['Varys'],,,,,,Game of Thrones,1,""" You Win or You Die """,,,"""You Win or You Die""",Simon Lowe,,,,,,,,,,1,wine merchant
Winterfell shepherd,In the North,299 AC near Winterfell,,['Stark'],,Northern,,,,Game of Thrones,2,2 episodes ( see below ),""" The Ghost of Harrenhal """,""" A Man Without Honor """,,Donagh Deeney,{Wife},Old Gods,,,,,,,,1,winterfell shepherd
Wolkan,,,,"['Order of Maesters', 'Bolton', 'Stark']",Maester,,,,,Game of Thrones,6 · 7 · 8,12 episodes ( see below ),""" The Red Woman """,""" The Iron Throne """,,Richard Rycroft,,,,,,,,,,0,wolkan
Wounded Lannister soldier,Lannisport,,,['Lannister'],,Westermen,Fisherman,,,Game of Thrones,2,""" Garden of Bones """,,,,Emmett O'Riabhaigh,,Faith of the Seven,,,,,,,,0,wounded soldier
Wun Weg Wun Dar Wun,Beyond the Wall,"303 AC Winterfell , the North",,"['Mance Rayder', 'Jon Snow']",,Giant,,,,Game of Thrones,5 · 6,5 episodes ( see below ),""" Hardhome """,""" Battle of the Bastards ""","""Battle of the Bastards""",Ian Whyte,,Old Gods,,Wun Wun,,,,,,1,wun wun
Othell Yarwyck,The Westerlands,303 AC Castle Black,Yarwyck,"[""Night's Watch""]",First Builder,Westermen,,,,Game of Thrones,1 · 4 · 5 · 6,14 episodes ( see below ),""" You Win or You Die """,""" Oathbreaker ""","""Oathbreaker""",Brian Fortune,,Faith of the Seven,,,,,,,,1,othell yarwick
Ygritte,Beyond the Wall,"301 AC Castle Black , the Wall",,['Mance Rayder'],,Free Folk,,,,Game of Thrones,2 · 3 · 4,17 episodes ( see below ),""" The Old Gods and the New """,""" The Children "" (corpse)",""" The Watchers on the Wall """,Rose Leslie,,Old Gods,,,,,,Jon Snow,,1,ygritte
Yoren,,"299 AC Near Harrenhal , the Riverlands",,"[""Night's Watch""]",,Westerosi,,,{Brother},Game of Thrones,1 · 2,7 episodes ( see below ),""" Lord Snow """,""" What Is Dead May Never Die ""","""What Is Dead May Never Die""",Francis Magee,,,,,,,,,,1,yoren
